x,y,z,d
4,6,8,192.399668
4,6,9,178.4178879
4,6,10,162.147004
4,7,0,134.0794633
4,7,1,145.6151395
4,7,2,155.4880234
4,7,3,163.0282027
4,7,4,167.7446062
4,7,5,169.3481243
4,7,6,167.7446062
4,7,7,163.0282027
4,7,8,155.4880234
4,7,9,145.6151395
4,7,10,134.0794633
4,8,0,112.2150733
4,8,1,120.5480971
4,8,2,127.6382362
4,8,3,133.0423658
4,8,4,136.4229997
4,8,5,137.5729904
4,8,6,136.4229997
4,8,7,133.0423658
4,8,8,127.6382362
4,8,9,120.5480971
4,8,10,112.2150733
4,9,0,94.9754246
4,9,1,101.1024148
4,9,2,106.2811032
4,9,3,110.2141172
4,9,4,112.6705955
4,9,5,113.5057958
4,9,6,112.6705955
4,9,7,110.2141172
4,9,8,106.2811032
4,9,9,101.1024148
4,9,10,94.9754246
4,10,0,81.21265852
4,10,1,85.79239265
4,10,2,89.63725033
4,10,3,92.54472068
4,10,4,94.35629725
4,10,5,94.97158971
4,10,6,94.35629725
4,10,7,92.54472068
4,10,8,89.63725033
4,10,9,85.79239265
4,10,10,81.21265852
5,0,0,330.305461
5,0,1,387.8203082
5,0,2,435.8959807
5,0,3,470.4044917
5,0,4,490.6732485
5,0,5,497.3107384
5,0,6,490.6732485
5,0,7,470.4044917
5,0,8,435.8959807
5,0,9,387.8203082
5,0,10,330.305461
5,1,0,317.5984948
5,1,1,371.2870043
5,1,2,416.3530846
5,1,3,448.9173855
5,1,4,468.1554054
5,1,5,474.4754287
5,1,6,468.1554054
5,1,7,448.9173855
5,1,8,416.3530846
5,1,9,371.2870043
5,1,10,317.5984948
5,2,0,285.4991045
5,2,1,330.0155456
5,2,2,367.736135
5,2,3,395.4262929
5,2,4,412.0183001
5,2,5,417.5124521
5,2,6,412.0183001
5,2,7,395.4262929
5,2,8,367.736135
5,2,9,330.0155456
5,2,10,285.4991045
5,3,0,245.7870154
5,3,1,279.9627309
5,3,2,309.1801523
5,3,3,330.9945277
5,3,4,344.2773764
5,3,5,348.7167845
5,3,6,344.2773764
5,3,7,330.9945277
5,3,8,309.1801523
5,3,9,279.9627309
5,3,10,245.7870154
5,4,0,207.2086819
5,4,1,232.4496323
5,4,2,254.1377862
5,4,3,270.5390568
5,4,4,280.6578151
5,4,5,284.066563
5,4,6,280.6578151
5,4,7,270.5390568
5,4,8,254.1377862
5,4,9,232.4496323
5,4,10,207.2086819
5,5,0,173.5715651
5,5,1,191.9612506
5,5,2,207.7743867
5,5,3,219.8201791
5,5,4,227.3155048
5,5,5,229.8542071
5,5,6,227.3155048
5,5,7,219.8201791
5,5,8,207.7743867
5,5,9,191.9612506
5,5,10,173.5715651
5,6,0,145.6236575
5,6,1,159.0243423
5,6,2,170.5174599
5,6,3,179.2951404
5,6,4,184.780622
5,6,5,186.6441978
5,6,6,184.780622
5,6,7,179.2951404
5,6,8,170.5174599
5,6,9,159.0243423
5,6,10,145.6236575
5,7,0,122.84654
5,7,1,132.6818462
5,7,2,141.0768786
5,7,3,147.4839869
5,7,4,151.4929691
5,7,5,152.8565608
5,7,6,151.4929691
5,7,7,147.4839869
5,7,8,141.0768786
5,7,9,132.6818462
5,7,10,122.84654
5,8,0,104.378113
5,8,1,111.6723334
5,8,2,117.8613937
5,8,3,122.5721055
5,8,4,125.5174123
5,8,5,126.5191956
5,8,6,125.5174123
5,8,7,122.5721055
5,8,8,117.8613937
5,8,9,111.6723334
5,8,10,104.378113
5,9,0,89.37524355
5,9,1,94.84911037
5,9,2,99.46383419
5,9,3,102.9629617
5,9,4,105.1465814
5,9,5,105.8887477
5,9,6,105.1465814
5,9,7,102.9629617
5,9,8,99.46383419
5,9,9,94.84911037
5,9,10,89.37524355
5,10,0,77.12328136
5,10,1,81.28144339
5,10,2,84.76442172
5,10,3,87.39418259
5,10,4,89.03121304
5,10,5,89.58698574
5,10,6,89.03121304
5,10,7,87.39418259
5,10,8,84.76442172
5,10,9,81.28144339
5,10,10,77.12328136
6,0,0,245.7870154
6,0,1,279.9627309
6,0,2,309.1801523
6,0,3,330.9945277
6,0,4,344.2773764
6,0,5,348.7167845
6,0,6,344.2773764
6,0,7,330.9945277
6,0,8,309.1801523
6,0,9,279.9627309
6,0,10,245.7870154
6,1,0,239.2964004
6,1,1,271.8908552
6,1,2,299.7876759
6,1,3,320.6668115
6,1,4,333.4108533
6,1,5,337.6762567
6,1,6,333.4108533
6,1,7,320.6668115
6,1,8,299.7876759
6,1,9,271.8908552
6,1,10,239.2964004
6,2,0,221.9545305
6,2,1,250.4779527
6,2,2,274.9509101
6,2,3,293.3770357
6,2,4,304.6921865
6,2,5,308.4931255
6,2,6,304.6921865
6,2,7,293.3770357
6,2,8,274.9509101
6,2,9,250.4779527
6,2,10,221.9545305
6,3,0,198.5299405
6,3,1,221.9174388
6,3,2,242.0241505
6,3,3,257.2639367
6,3,4,266.6896539
6,3,5,269.8698738
6,3,6,266.6896539
6,3,7,257.2639367
6,3,8,242.0241505
6,3,9,221.9174388
6,3,10,198.5299405
6,4,0,173.5715651
6,4,1,191.9612506
6,4,2,207.7743867
6,4,3,219.8201791
6,4,4,227.3155048
6,4,5,229.8542071
6,4,6,227.3155048
6,4,7,219.8201791
6,4,8,207.7743867
6,4,9,191.9612506
6,4,10,173.5715651
6,5,0,149.9634107
6,5,1,164.0953219
6,5,2,176.223152
6,5,3,185.484027
6,5,4,191.2686856
6,5,5,193.2331848
6,5,6,191.2686856
6,5,7,185.484027
6,5,8,176.223152
6,5,9,164.0953219
6,5,10,149.9634107
6,6,0,129.0078771
6,6,1,139.7616811
6,6,2,148.954998
6,6,3,155.9746007
6,6,4,160.3663421
6,6,5,161.8598286
6,6,6,160.3663421
6,6,7,155.9746007
6,6,8,148.954998
6,6,9,139.7616811
6,6,10,129.0078771
6,7,0,111.0205348
6,7,1,119.1914142
6,7,2,126.1408198
6,7,3,131.4366795
6,7,4,134.7493843
6,7,5,135.8762593
6,7,6,134.7493843
6,7,7,131.4366795
6,7,8,126.1408198
6,7,9,119.1914142
